21834.999.000.00.00;BUQUE EUFORIA 28 HASTES                 
21835.999.000.00.00;BUQUE SUBLIME 45 HASTES                 
03031.023.053.00.10;FICUS LYRATA BAMBINO P23 3 HT COMPACTO  
03031.023.052.00.10;FICUS LYRATA BAMBINO P23 2 HT COMPACTO  
07550.014.015.00.00;HORTENSIA P14                           
21269.221.000.00.00;MUEHLENBECKIA ANGEL VINE C21            
21105.014.000.00.00;RHAPHIDOPHORA TETRASPERMA P14           
00754.014.000.00.00;GERANIO P14                             
04087.999.000.00.00;MACO GERBERA                            
21809.080.000.00.13;ZANTEDESCHIA AIRBRUSH 080 CM BICOLOR    
21809.070.000.00.13;ZANTEDESCHIA AIRBRUSH 070 CM BICOLOR    
21809.060.000.00.13;ZANTEDESCHIA AIRBRUSH 060 CM BICOLOR    
21809.050.000.00.13;ZANTEDESCHIA AIRBRUSH 050 CM BICOLOR    
21809.040.000.00.13;ZANTEDESCHIA AIRBRUSH 040 CM BICOLOR    
21809.030.000.00.13;ZANTEDESCHIA AIRBRUSH 030 CM BICOLOR    
01572.014.002.00.00;CALLA P14 AMARELO                       
21458.014.500.04.78;TUIA HOLANDESA P14 COL VERM NEVE GLITER 
21458.009.500.04.78;TUIA HOLANDESA P09 COL VERM NEVE GLITER 
21122.014.500.04.00;TUIA HOLANDESA P14 COL VERMELHO         
21122.009.500.04.00;TUIA HOLANDESA P09 COL VERMELHO         
21120.020.500.30.74;TUIA STRICKITA P20 COL NEVE GLITTER     
00556.009.000.00.00;CALADIUM VARIADO P09                    
21789.012.000.00.00;ONCIDIUM BARROCCO RED P12               
00717.014.000.00.00;DAHLIA P14                              
21780.012.000.00.00;MARANTA GOLDEN MOSAIC P12               
07386.012.000.00.00;PEPEROMIA POLYBOTRYA RAINDROP P12       
21773.999.000.52.00;TERRARIO PHALAENOPSIS MINI 2 HT DECORADO
21773.999.000.51.00;TERRARIO PHALAENOPSIS MINI 1 HT DECORADO
21774.999.000.00.00;TERRARIO ZAMIOCULCAS                    
03928.012.000.00.00;CALATHEA P12 MARIA                      
21775.009.000.00.00;ANTHURIUM P09 BANDEROLA LAVA            
21771.999.000.00.00;FOLHAGEM SORGO TINGIDO                  
21772.009.000.99.52;PHALAENOPSIS MINI AURORA P09 2 HT       
21772.009.000.99.51;PHALAENOPSIS MINI AURORA P09 1 HT       
21711.009.000.00.00;ZAMIOCULCAS P09 VARIADO                 
01572.814.001.00.00;CALLA P14 QUADRADO BRANCO               
05042.030.000.00.39;ASTER MARIANA 030 CM ROSA CLARO         
21414.014.000.00.00;LAVANDULA P14 STOECHAS DEEP PURPLE      
20631.017.000.00.00;CALATHEA  P17 SURPRISE STAR             
21258.017.000.00.00;CALATHEA P17 ROSEA PICTA CRIMSON        
04103.999.000.00.00;FOLHAGEM SORGO                          
00466.999.000.00.00;TRIGO VERDE                             
20364.999.000.00.00;TRIGO DESIDRATADO FC                    
21711.014.000.00.00;ZAMIOCULCAS P14 VARIADO                 
20154.070.000.00.00;DIANTHUS A.NEON CHERRY 70               
20154.060.000.00.00;DIANTHUS A.NEON CHERRY 60               
20154.050.000.00.00;DIANTHUS A.NEO CHERRY 50                
20154.040.000.00.00;DIANTHUS A. NEO CHERRY 40               
20154.030.000.00.00;DIANTHUS A.NEO CHERRY 30                
21703.012.000.00.15;ONCIDIUM BARROCCO P12 VARIADO           
01125.007.002.99.52;PHALAENOPSIS MINI P07 AMARELO 2 HT      
01125.007.002.99.51;PHALAENOPSIS MINI P07 AMARELO 1 HT      
03031.048.053.00.00;FICUS LYRATA P48 MIN 3 HT               
03031.048.052.00.00;FICUS LYRATA P48 MIN 2 HT               
07679.009.000.00.00;ZAMIOCULCAS BLACK QUEEN P09             
20460.017.000.00.00;PHILODENDRON GREY P17                   
21672.014.000.00.00;ZAMIOCULCAS ZENZI P14                   
21669.014.000.00.00;LAVANDULA SUPERBLUE P14                 
05186.009.054.99.51;PHAL MIDI P09 TINGIDA MULTICOLOR        
05186.009.031.99.51;PHAL MIDI P09 TINGIDA AZUL 1 HT         
21413.015.000.00.00;LAVANDULA STOECHAS DEEP ROSE P15        
00683.012.000.02.00;ORQUIDEA VARIADA P12 MIN 2 HT           
00683.012.000.01.00;ORQUIDEA VARIADA P12 MIN 1 HT           
06567.015.000.00.00;ONCIDIUM COLMANARA WILDCAT P15          
01233.012.000.00.00;ONCIDIUM ALOHA P12                      
20266.015.000.00.00;MONSTERA P15 OBLIQUA ADANSONII          
20672.090.000.00.07;CELOSIA RABO DE GATO 090 CM ROSA        
20672.080.000.00.07;CELOSIA RABO DE GATO 080 CM ROSA        
20672.070.000.00.07;CELOSIA RABO DE GATO 070 CM ROSA        
20672.060.000.00.07;CELOSIA RABO DE GATO 060 CM ROSA        
20672.050.000.00.07;CELOSIA RABO DE GATO 050 CM ROSA        
21194.040.000.00.08;PERPETUA 040 CM ROXO                    
21194.080.000.00.08;PERPETUA 080 CM ROXO                    
